ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
0,"Total",2023,"2023",64962,2634,"Adams County, IL","05000US17001","adams-county-il"
0,"Total",2023,"2023",43523,10035,"Alexander County, IL","05000US17003","alexander-county-il"
0,"Total",2023,"2023",61603,5186,"Bond County, IL","05000US17005","bond-county-il"
0,"Total",2023,"2023",81638,4449,"Boone County, IL","05000US17007","boone-county-il"
0,"Total",2023,"2023",72288,6017,"Brown County, IL","05000US17009","brown-county-il"
0,"Total",2023,"2023",65894,2958,"Bureau County, IL","05000US17011","bureau-county-il"
0,"Total",2023,"2023",92095,7054,"Calhoun County, IL","05000US17013","calhoun-county-il"
0,"Total",2023,"2023",60871,3145,"Carroll County, IL","05000US17015","carroll-county-il"
0,"Total",2023,"2023",64907,6467,"Cass County, IL","05000US17017","cass-county-il"
0,"Total",2023,"2023",63091,1587,"Champaign County, IL","05000US17019","champaign-county-il"
0,"Total",2023,"2023",59253,3610.9999999999995,"Christian County, IL","05000US17021","christian-county-il"
0,"Total",2023,"2023",70625,5883,"Clark County, IL","05000US17023","clark-county-il"
0,"Total",2023,"2023",57266,7107.000000000001,"Clay County, IL","05000US17025","clay-county-il"
0,"Total",2023,"2023",82314,4058.0000000000005,"Clinton County, IL","05000US17027","clinton-county-il"
0,"Total",2023,"2023",56040,3322,"Coles County, IL","05000US17029","coles-county-il"
0,"Total",2023,"2023",81797,639,"Cook County, IL","05000US17031","cook-county-il"
0,"Total",2023,"2023",67614,5199,"Crawford County, IL","05000US17033","crawford-county-il"
0,"Total",2023,"2023",69826,6971,"Cumberland County, IL","05000US17035","cumberland-county-il"
0,"Total",2023,"2023",69022,2476,"DeKalb County, IL","05000US17037","dekalb-county-il"
0,"Total",2023,"2023",64802,7326.000000000001,"De Witt County, IL","05000US17039","de-witt-county-il"
0,"Total",2023,"2023",74186,2322,"Douglas County, IL","05000US17041","douglas-county-il"
0,"Total",2023,"2023",110502,1420,"DuPage County, IL","05000US17043","dupage-county-il"
0,"Total",2023,"2023",56909,4609,"Edgar County, IL","05000US17045","edgar-county-il"
0,"Total",2023,"2023",59386,4322,"Edwards County, IL","05000US17047","edwards-county-il"
0,"Total",2023,"2023",75380,4362,"Effingham County, IL","05000US17049","effingham-county-il"
0,"Total",2023,"2023",57113,4152,"Fayette County, IL","05000US17051","fayette-county-il"
0,"Total",2023,"2023",60782,5766,"Ford County, IL","05000US17053","ford-county-il"
0,"Total",2023,"2023",53471,3499.9999999999995,"Franklin County, IL","05000US17055","franklin-county-il"
0,"Total",2023,"2023",58617,2360,"Fulton County, IL","05000US17057","fulton-county-il"
0,"Total",2023,"2023",54626,5865,"Gallatin County, IL","05000US17059","gallatin-county-il"
0,"Total",2023,"2023",60976,2756,"Greene County, IL","05000US17061","greene-county-il"
0,"Total",2023,"2023",93060,4776,"Grundy County, IL","05000US17063","grundy-county-il"
0,"Total",2023,"2023",61520,7883,"Hamilton County, IL","05000US17065","hamilton-county-il"
0,"Total",2023,"2023",65044,3235,"Hancock County, IL","05000US17067","hancock-county-il"
0,"Total",2023,"2023",57155,9459,"Hardin County, IL","05000US17069","hardin-county-il"
0,"Total",2023,"2023",65651,4272,"Henderson County, IL","05000US17071","henderson-county-il"
0,"Total",2023,"2023",69912,3045,"Henry County, IL","05000US17073","henry-county-il"
0,"Total",2023,"2023",62439,3418,"Iroquois County, IL","05000US17075","iroquois-county-il"
0,"Total",2023,"2023",45572,3777,"Jackson County, IL","05000US17077","jackson-county-il"
0,"Total",2023,"2023",71094,6014,"Jasper County, IL","05000US17079","jasper-county-il"
0,"Total",2023,"2023",61102,2397,"Jefferson County, IL","05000US17081","jefferson-county-il"
0,"Total",2023,"2023",79104,7390,"Jersey County, IL","05000US17083","jersey-county-il"
